ITEM,EXPORTING COUNTRY,NAME OF MANUFACTURERS,SHIPPER,ARTICLE,CONTENTS OF VIOLATION,QUARANTIN STATION,NAME OF IMPORTERS,CAUSE OF VIOLATION,DISPOSAL OF THE CARGO,REMARKS,Publication day
DRIED SHRIMP SHELL MEAL,China,"ZHEJIANG EVERNEW SEAFOOD CO.,LTD.",,Art.11(2),violation of standard of use (SO₂ 0.52 g/kg detection),kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Food additive：SODIUM BENZOATE,U.S.A.,"EMERALD KALAMA CHEMICAL, LLC",,Art.11(2),violation of compositional standard (phthalate),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Frozen food served after heating(other than those heated immediately before freezing)：CHAPATTI,Malaysia,STARKISS FOOD CORPORATION SDN. BHD.,,Art.11(2),violation of compositional standard (live bacteria count 6.3 ×10⁶ /g),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-01-25
Milled rice,Thailand,,"THAI HUA (2511) CO.,LTD.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",otaru,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
Milled rice,Thailand,,"THAI HUA (2511) CO.,LTD.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",otaru,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
Frozen food served without heating：FROZEN OKURA CUT,China,"DONGHAI FROZEN FOODS CO., LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-01-25
Brown Rice,Australia,,RICEGROWERS LIMITED,Art.6(ⅰ)　,generation of mold and nasty smell,yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
DRIED FIG,Turkey,AK IMPEX LTD,,Art.6(ⅱ),"aflatoxin (mycotoxin) 24 μg/kg　（B1:10.3, G1:13.4 ) detected",narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-01-25
Milled rice,Australia,,RICEGROWERS LIMITED,Art.6(ⅰ)　,generation of mold and nasty smell,fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
Milled rice,Australia,,RICEGROWERS LIMITED,Art.6(ⅰ)　,generation of mold and nasty smell,fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-01-25
DRIED SEASONED KAWAHAGI MEGANE,Vietnam,BARIA VUNGTAU SEAFOOD PROCESSING & IMP. EXP. JOINT STOCK CO.(BASEAFOOD),,Art.11(2),violation of compositional standard (chloramphenicol 0.0009 ppm detection),kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-07
RED CHILLI POWDER,Pakistan,SHAN FOODS PRIVATE LTD,,Art.6(ⅱ),aflatoxin (mycotoxin) 14 μg/kg　（B1:14.3 ) detected,narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-07
RED CHILLI POWDER,Pakistan,SHAN FOODS PRIVATE LTD,,Art.6(ⅱ),aflatoxin (mycotoxin) 15 μg/kg　（B1:15.0 ) detected,narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-07
FROZEN　BEEF TONGUE,France,SOCOPA VIANDES,,Art.9(2),Non-attachment of health certificate to prescribe to Food Sanitation Act Article 9 Paragraph 2,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-02-07
PEANUTS CHOCOLATE,Thailand,"FLOWER FOOD LTD.,PART.",,Art.6(ⅱ),"aflatoxin (mycotoxin) ①48 μg/kg　②502 μg/kg　（①B1:40.5 , B2:7.6 ②B1:423.4 , B2:78.6 ) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-07
Frozen food served after heating(those heated immediately before freezing)：CASSAVA,Indonesia,SINGKONG KEJU D9 SALATIGA,,Art.6(ⅱ)    Art.11(2),"cyanide 72 mg/kg detection , violation of compositional standard (live bacteria count 1.2×10⁷ /g)",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),"ordered inspection , independence inspection",2018-02-07
Milled rice,U.S.A.,,"ADM RICE, INC.",Art.6(ⅰ)　,"generation of mold, decay, nasty smell and deterioration",tokyo,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-02-07
FROZEN RED CHILLI,Vietnam,,"VINH NGHI TRADING SERVICES TRANSPORT CO.,LTD",Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（propiconazole 0.05 ppm, isoprothiolane 0.29 ppm detection）",narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-02-07
HONEY ROASTED PEANUTS,U.S.A.,ALLIED INTERNATIONAL CORP.,,Art.6(ⅱ),aflatoxin (mycotoxin) 20 μg/kg　（B1:18.0 B2:1.7 )detected,osaka ,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-07
BEE LARVA POWDER,China,"QINGHAI XINKAI INDUSTRIAL CO.,LTD.",,Art.11(2),"violation of compositional standard (oxytetracycline 0.06 ppm, tetracycline 0.02 ppm detection)",kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
POTATO CHIPS YOGURT FLAVOR,Korea,"COSMOS CONFECTIONERY CO.,LTD.",,Art.10,undesignated additive (TBHQ 2 μg/kg detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
POTATO CHIPS COLA FLAVOR,Korea,"COSMOS CONFECTIONERY CO.,LTD.",,Art.10,undesignated additive (TBHQ 2 μg/kg detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
Frozen food served after heating(other than those heated immediately before freezing)：IQF PEPPER SLICED,China,"SHANDONG FUTURE EVER FOODSTUFFS CO., LTD.",,Art.11(2),violation of compositional standard (E.coli positive),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-02-07
Frozen food served after heating(other than those heated immediately before freezing)：GARLIC AND CHEESE/FROZEN PIZZA),Italy,F. I. A. D. SRL,,Art.11(2),violation of compositional standard (E.coli positive),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
Frozen food served after heating(other than those heated immediately before freezing)：POSITANO/FROZEN PIZZA,Italy,F. I. A. D. SRL,,Art.11(2),violation of compositional standard (E.coli positive),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
Frozen food served after heating(other than those heated immediately before freezing)：QUATTORO FORMAGGI/FROZEN PIZZA,Italy,F. I. A. D. SRL,,Art.11(2),violation of compositional standard (E.coli positive),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
Health food：BILBERRY EXTRACT,"U.S.A.
(blueberry origin: Finland)","KDN-VITA INTERNATIONAL, INC.",,Art.11(2),violation of compositional standard (radioactive substance (Cs)  190 Bq/kg detection),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
Powdered drink beverages:KOREAN GINSENG TEA,Korea,"KUN YANG FOOD CO.,LTD.",,Art.11(2), violation of compositional standard (live bacteria count 1.1×10⁴ /g),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),,2018-03-08
Milled rice,Thailand,,"NANAPAN AGRI-INDUSTRIAL CO.,LTD.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",tokyo,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),,2018-03-08
DRIED CHILLI POWDER,China,"QINGDAO HOTMISO FOOD CO.,LTD.",,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (Chlorpropham 0.04 ppm　detection)",kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),,2018-03-08
ORGANIC GLUTEN FREE MIX OMEGA,Italy,LE BONTA' S.R.L.,,Art.6(ⅱ),cyanide 19 mg/kg detection,fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),,2018-03-08
ORGANIC FLAX SEEDS,Italy,LE BONTA' S.R.L.,,Art.6(ⅱ),cyanide 130 mg/kg detection,fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),,2018-03-08
ORGANIC GLUTEN FREE MIX CLASSICO,Italy,LE BONTA' S.R.L.,,Art.6(ⅱ),cyanide 46 mg/kg detection,fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),,2018-03-08
ORGANIC GLUTEN FREE MIX MEDITERRANEO,Italy,LE BONTA' S.R.L.,,Art.6(ⅱ),cyanide 12 mg/kg detection,fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),,2018-03-08
Fresh immature peas,Thailand,,"MCL LOGISTICS LTD.,PART.",Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (Fenpropathrin 0.03 ppm　detection)",kobe 2nd section,,,we directed abandonment or return of the cargo (under investigation),,2018-03-08
Cakes：GATEAU AUX EPICES,France,MAISON TOUSSAINT,,Art.11(2),violation of standard of use (use of sorbic acid in other than target food),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),,2018-03-08
Processed fruit products：BLUEBERRY JUICE CONCENTRATE,Italy,BAYERNWALD FRUCHTEVERWERTUNG KG,,Art.11(2),violation of compositional standard (radioactive substance (Cs)  260 Bq/kg detection),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-08
Frozen food served without heating：FROZEN VANAMEI SUSHI SHRIMP,Vietnam,THUAN PHUOC SEAFOODS AND TRADING CORPORATION,,Art.11(2),violation of compositional standard (enrofloxacin 0.01 ppm detection),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-08
FROZEN PEELED SHRIMP,Vietnam,DANANG SEAPRODUCTS IMPORT EXPORT CORPORATION,,Art.11(2),violation of compositional standard (enrofloxacin 0.02 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-08
Frozen food served after heating(other than those heated immediately before freezing)：KUSHI KATSU,China,"RONGCHENG RONGDONG FOODSTUFF CO., LTD.",,Art.11(2),violation of compositional standard (E.coli positive),kawasaki,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-08
DRIED SEASONED KAWAHAGI,Vietnam,VIETFISH TRADING COMPANY LIMITED,,Art.11(2),violation of compositional standard (chloramphenicol 0.0010 ppm detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-08
Seasoning agent：TRADITIONAL HARISSA,Tunisia,TUNISIAN AMERICAN OLIVE OIL COMPANY S.A.,,Art.11(2),violation of standard of use (use of sorbic acid in other than target food (0.169 g/kg detection)),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-09
Frozen fresh fish and shellfish for raw consumption： FROZEN RAW PEELED DEVEINED TAIL OFF ARGENTINE RED SHRIMP,Thailand,"MAY AO FOODS CO., LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-03-09
Frozen beef tail,U.S.A.,WR RESERVE,,Art.9(2),Non-attachment of health certificate to prescribe to Food Sanitation Act Article 9 Paragraph 2,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-03-09
Frozen beef：liver,U.S.A.,WR RESERVE,,Art.9(2),Non-attachment of health certificate to prescribe to Food Sanitation Act Article 9 Paragraph 2,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-03-09
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN DRIED SOYBEAN ,Malaysia,EVERBEST SOYA BEAN PRODUCTS SDN. BHD.,,Art.11(2),violation of compositional standard (E.coli positive),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-09
Dried meat products： PORK SALAMI,U.S.A.,FRESH MARK CANTON,,Art.11(2),violation of compositional standard (water activity：0.88),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-09
Implements (melamine)：MELAMINE CUP,China,"DONG GUAN THOUSAND PERFECTION MELAMINE WARE CO. ,LTD",,Art.18(2),non-conformity with  standard for materials （evaporation residual substance （4% acetic acid) 33 μg/ml）,kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-09
Almonds,U.S.A.,,"ANA TRADING CORP., U.S.A.",Art.6(ⅱ),"aflatoxin (mycotoxin) 38 μg/kg　（B1:32.7 , B2:4.9 detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-09
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN RAW PTO BLACK TIGER SHRIMP,Vietnam,"QUOC VIET SEAPRODUCTS PROCESSING TRADING AND IMPORT-EXPORT CO. ,LTD.",,Art.11(2),violation of compositional standard (enrofloxacin 0.01 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-09
Powdered drink beverages： PRO-TF,U.S.A.,BIOMEDICAL RESEARCH LABORATORIES,,Art.11(2),violation of compositional standard (live bacteria count 1.1×10⁴ /g),kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-09
Frozen food served without heating：HOKKIGAI,Canada,CLEARWATER SEAFOODS IQF SURCLAM GRAND BANK,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-03-09
Almonds,U.S.A.,,"ANA TRADING CORP., U.S.A.",Art.6(ⅱ),aflatoxin (mycotoxin) 13 μg/kg　（B1:13.2 ) detected,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-16
Pistachio nuts,Iran,,FARAVARDEHAY TALAEE SHARGH,Art.11(2),violation of compositional standard (imidacloprid 0.35 ppm　detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-03-16
Pistachio nuts,U.S.A.,,PRIMEX INTERNATIONAL TRADING CORP.,Art.6(ⅱ),aflatoxin (mycotoxin) 12 μg/kg　（B1:12.1 ) detected,kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-16
GOLDEN RAISIN,Iran,ROSSEN MARKET CO.,,Art.11(2),violation of standard of use (SO₂ 2.1 g/kg detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-16
SKIPPY PEANUT BUTTER CHUNKY,U.S.A.,HORMEL FOODS INTERNATIONAL CORP,,Art.6(ⅱ),"aflatoxin (mycotoxin) ①11 μg/kg　②12 μg/kg　③14 μg/kg　（①B1:9.2 , B2:1.9 ②B1:9.8 , B2:1.9 ③B1:12.1 , B2:2.2 ) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-16
Milled rice,Thailand,,"TANASAN RICE CO.,LTD.",Art.6(ⅰ)　,generation of mold and nasty smell,fukuoka,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-03-16
Fresh onion,China,,"GAOMI SHENGHUA FOOD CO.,LTD.",Art.11(2),violation of compositional standard （ｔhiamethoxam 0.03 ppm detection）,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-16
